,number_count,id_count,p_count,map_agent_count,name_len_count,prefix_count
113,0.6595744680851063,0.6595744680851063,0.6521739130434783,0.28125,0.3142857142857143,0.10638297872340424
114,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.03125,0.05714285714285715,0.0
115,0.0851063829787234,0.0851063829787234,0.021739130434782608,0.0,0.028571428571428567,0.02127659574468085
116,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0625,0.05714285714285715,0.042553191489361694
117,0.06382978723404255,0.06382978723404255,0.021739130434782608,0.03125,0.08571428571428573,0.042553191489361694
118,0.0,0.0,0.021739130434782608,0.0,0.028571428571428567,0.02127659574468085
119,0.10638297872340424,0.10638297872340424,0.0,0.0,0.08571428571428573,0.0
120,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0625,0.028571428571428567,0.06382978723404255
121,0.1914893617021277,0.1914893617021277,0.0,0.0,0.2571428571428571,0.1914893617021277
122,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.0625,0.028571428571428567,0.02127659574468085
123,0.0851063829787234,0.0851063829787234,0.043478260869565216,0.0,0.08571428571428573,0.02127659574468085
124,0.06382978723404255,0.06382978723404255,0.021739130434782608,0.0,0.028571428571428567,0.0
125,0.06382978723404255,0.06382978723404255,0.06521739130434782,0.09375,0.0,0.02127659574468085
126,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.03125,0.05714285714285715,0.02127659574468085
127,0.042553191489361694,0.042553191489361694,0.0,0.0,0.0,0.02127659574468085
128,0.06382978723404255,0.06382978723404255,0.0,0.0625,0.028571428571428567,0.02127659574468085
129,0.06382978723404255,0.06382978723404255,0.021739130434782608,0.0,0.05714285714285715,0.042553191489361694
130,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.03125,0.028571428571428567,0.042553191489361694
131,0.06382978723404255,0.06382978723404255,0.06521739130434782,0.0625,0.0,0.02127659574468085
132,0.10638297872340424,0.10638297872340424,0.043478260869565216,0.0,0.14285714285714285,0.0
133,0.5106382978723404,0.5106382978723404,0.5,0.5625,0.14285714285714285,0.02127659574468085
134,0.042553191489361694,0.042553191489361694,0.021739130434782608,0.0,0.0,0.042553191489361694
135,0.1276595744680851,0.1276595744680851,0.021739130434782608,0.0,0.028571428571428567,0.0
136,0.06382978723404255,0.06382978723404255,0.021739130434782608,0.03125,0.05714285714285715,0.042553191489361694
137,0.0851063829787234,0.0851063829787234,0.08695652173913042,0.125,0.05714285714285715,0.06382978723404255
138,0.8723404255319148,0.8723404255319148,0.7173913043478259,0.71875,0.3142857142857143,0.25531914893617025
139,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0625,0.05714285714285715,0.02127659574468085
140,0.1276595744680851,0.1276595744680851,0.06521739130434782,0.0,0.11428571428571427,0.0
141,0.0851063829787234,0.0851063829787234,0.043478260869565216,0.0,0.028571428571428567,0.0
142,0.06382978723404255,0.06382978723404255,0.06521739130434782,0.09375,0.028571428571428567,0.02127659574468085
143,0.042553191489361694,0.042553191489361694,0.021739130434782608,0.0625,0.028571428571428567,0.0
144,0.1276595744680851,0.1276595744680851,0.08695652173913042,0.0,0.14285714285714285,0.0
145,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0,0.028571428571428567,0.02127659574468085
146,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0625,0.028571428571428567,0.02127659574468085
147,0.1914893617021277,0.1914893617021277,0.13043478260869568,0.0,0.1714285714285714,0.10638297872340424
148,0.7234042553191489,0.7234042553191489,0.13043478260869568,0.03125,0.9714285714285714,0.0851063829787234
149,0.0851063829787234,0.0851063829787234,0.08695652173913042,0.09375,0.0,0.042553191489361694
150,0.3191489361702128,0.3191489361702128,0.2173913043478261,0.15625,0.14285714285714285,0.042553191489361694
